Date,Subcategory,Payee,Reference,Amount
21-09-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
23-09-2022,Counter Credit,Employer,xxxxxx/06,5452.8
23-09-2022,Counter Credit,Tenant,Rent Payment,1350.0
26-09-2022,Funds Transfer,Enrichment,Son,-20.0
26-09-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
26-09-2022,Funds Transfer,Son,POCKET ALLOWANCE,-900.0
03-10-2022,Funds Transfer,Enrichment,Son,-20.0
03-10-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-16.99
05-10-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
07-10-2022,Bill Payment,TESCO BANK,xxxxxx,-400.0
10-10-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
10-10-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
10-10-2022,Direct Debit,TESCO BANK,xxxxxx,-1490.73
10-10-2022,Funds Transfer,Enrichment,Son,-20.0
13-10-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
17-10-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
21-10-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
24-10-2022,Funds Transfer,Enrichment,Son,-20.0
25-10-2022,Counter Credit,Employer,xxxxxx/07,5452.8
25-10-2022,Counter Credit,Tenant,Rent Payment,1350.0
25-10-2022,Funds Transfer,Friend,FIREWORKS,-27.0
27-10-2022,Direct Debit,HOMESERVE,HSS xxxxxx,-41.49
31-10-2022,Counter Credit,SCOTTISHPOWER,xxxxxx,66.0
31-10-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
01-11-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-16.99
01-11-2022,Funds Transfer,Enrichment,Son,-20.0
02-11-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
04-11-2022,Funds Transfer,Friend,PARTY DEPOSIT,-66.0
04-11-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,10.0
08-11-2022,Direct Debit,TESCO BANK,xxxxxx,-170.12
09-11-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
10-11-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
14-11-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
15-11-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
17-11-2022,Funds Transfer,Son,BIRTHDAY ALLOWANCE,-1711.04
21-11-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
25-11-2022,Counter Credit,Employer,xxxxxx/08,5547.55
25-11-2022,Counter Credit,Tenant,Rent Payment,1350.0
25-11-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
29-11-2022,Counter Credit,SCOTTISHPOWER,xxxxxx,66.0
01-12-2022,Direct Debit,247 HOME RESCUE,xxxxxx,-16.99
02-12-2022,Debit,Blue Rewards Fee,Blue Rewards Fee,-5.0
09-12-2022,Direct Debit,PLUSNET PLC PAY AC,xxxxxx,-6.55
09-12-2022,Direct Debit,TESCO BANK,xxxxxx,-859.09
09-12-2022,Funds Transfer,BLUE REWARDS,WALLET TRANSFER,5.0
12-12-2022,Direct Debit,LB OF BARNET,01 xxxxxx,-213.0
13-12-2022,Direct Debit,SKY DIGITAL,xxxxxx,-55.5
15-12-2022,Direct Debit,NATIONWIDE B S,xxxxxx,-1981.28
15-12-2022,Direct Debit,AZP HE COVER,xxxxxx,-45.36
21-12-2022,Direct Debit,SCOTTISHPOWER,xxxxxx,-259.0
22-12-2022,Counter Credit,Employer,xxxxxx/09,5547.55
22-12-2022,Funds Transfer,Son,CHRISTMASALLOWANCE,-2500.0
28-12-2022,Counter Credit,Tenant,Rent Payment,1350.0
28-12-2022,Funds Transfer,Spouse,RENT FOR FLAT 12,-1350.0
30-12-2022,Counter Credit,SCOTTISHPOWER,xxxxxx,67.0
